short_name,overall,pace,shooting,passing,dribbling,defending,physic
F. Della Rocca,68,66,61,68,68,54,66
A. Rosi,68,81,56,64,67,65,77
S. De Witte,68,73,59,61,55,66,83
T. Bianchi,68,69,52,66,66,58,73
L. Trotter,68,69,63,67,67,60,78
J. Nava,68,87,57,61,74,40,60
D. Petric,68,,,,,,
B. Shea,68,71,65,69,66,57,68
J. Holland,68,69,56,62,64,65,79
C. Nöthe,68,70,67,52,64,32,65
I. Jiménez,68,75,54,63,67,66,73
S. Morrison,68,58,29,41,47,66,76
B. Mokulu,68,75,62,62,72,31,79
R. Gestede,68,72,68,46,61,31,74
A. N'Diaye,68,70,46,60,56,64,78
D. Latza,68,70,49,66,70,64,71
T. Pukki,68,78,67,53,71,28,63
K. Laribi,68,85,54,64,71,37,49
P. Nakoulma,68,90,61,55,73,40,73
P. Mandanda,68,,,,,,
Lionn,68,78,58,61,66,66,73
A. Sarota,68,69,58,68,68,59,72
F. Bérenguer,68,83,63,63,70,36,65
A. Gunino,68,81,51,63,71,65,63
S. Gürler,68,87,53,62,72,36,58
J. Campos,68,65,62,67,73,25,61
B. Leroy,68,,,,,,
Alex,68,77,61,62,75,31,53
J. Enríquez,68,66,56,58,59,69,78
R. Amalfitano,68,67,57,65,71,37,46
A. Gorgon,68,73,69,64,69,39,68
M. Aguirregaray,68,81,49,63,68,65,73
Ilie Sánchez,68,68,45,61,59,66,66
Y. Soumahoro,68,87,61,59,72,30,52
M. Djuricin,68,67,66,56,69,29,59
G. Katsikas,68,63,47,36,45,71,74
L. Silva,68,79,63,67,66,54,63
A. Romero,68,79,64,63,72,31,64
L. Cardozo,68,75,44,51,63,70,69
A. Tena,68,70,64,67,69,33,48
G. Malfleury,68,80,68,47,72,31,62
D. Buballa,68,84,36,56,62,68,73
A. Szymanowski,68,85,63,63,74,33,47
R. Philippoteaux,68,84,58,63,71,32,57
M. Ibrahim,68,75,64,69,69,35,55
D. Brown,68,89,66,48,65,34,73
F. Torijano,68,64,32,43,45,68,72
W. Zapata,68,71,64,59,71,27,68
N. Barahona,68,80,60,64,74,35,56
M. Mier,68,79,67,63,69,48,69
D. Benedetto,68,71,70,63,68,37,60
M. Aoudia,68,61,66,51,63,29,72
B. Sagredo,68,92,63,67,71,34,46
B. Abdurahimi,68,79,64,62,72,26,51
D. Verhulst,68,,,,,,
S. Özkan,68,79,58,65,71,28,55
K. Reichel,68,74,59,65,64,66,74
Danilinho,68,80,59,62,72,56,68
M. Suttner,68,79,58,61,71,66,73
A. Hammill,68,80,64,64,74,42,57
T. Enevoldsen,68,76,70,66,69,35,71
G. De Mets,68,66,45,66,65,69,66
B. Hamalainen,68,80,44,67,65,67,74
D. Boerrigter,68,85,68,65,68,35,67
L. Ainsworth,68,90,62,63,70,25,42
J. Pearce,68,50,26,43,46,67,79
J. Domínguez,68,64,40,57,59,67,77
D. N'Gog,68,82,65,63,69,33,71
M. Lekven,68,76,58,70,74,50,69
S. Arfield,68,72,63,66,70,58,67
B. Urribarri,68,84,43,63,65,64,58
R. Poepon,68,72,69,59,67,37,71
S. Escudero,68,89,60,64,64,37,66
G. Berardi,68,78,41,59,59,67,73
D. Vidosic,68,78,67,72,70,51,66
S. Lowry,68,65,37,57,60,64,79
C. Strohdiek,68,51,27,40,39,67,76
D. Hubert,68,58,53,63,59,69,69
J. Dueñas,68,74,59,63,67,64,78
A. Dauda,68,88,70,51,68,35,63
E. Pérez,68,74,52,61,63,68,72
D. Meyler,68,59,56,67,66,62,78
I. Vigurs,68,66,62,68,70,50,68
M. Görlitz,68,76,56,64,74,30,57
Lillo,68,64,48,58,59,66,73
E. Falkenburg,68,66,69,63,68,38,66
A. DeLaGarza,68,75,47,59,64,68,72
I. Obradović,68,78,53,69,70,64,69
Bruno Soares,68,58,31,42,50,68,72
L. Neagle,68,85,64,62,70,52,67
Iñigo Pérez,68,72,59,70,61,65,65
D. Stahl,68,70,60,58,61,68,80
T. Ream,68,75,42,62,63,69,72
L. Mendoza,68,79,55,62,71,43,69
J. Corona,68,74,65,65,70,49,61
C. Glombard,68,68,47,67,65,66,72
J. Ayoví,68,73,66,57,66,35,74
B. Röcker,68,68,32,40,39,68,74
G. Pizarro,68,56,60,68,68,56,75
José Mari,68,67,56,65,66,64,72
J. Lopera,68,59,27,43,43,70,70
J. Álvarez,68,66,51,67,72,39,64
H. Rojas,68,66,63,68,70,53,60
F. Noguera,68,77,55,66,67,65,69
J. Aguirre,68,74,68,63,72,27,55
A. Donatti,68,54,55,38,40,68,79
J. Copete,68,85,67,62,72,32,65
F. Márquez,68,78,67,58,69,27,62
W. Johnson,68,78,67,65,68,64,74
E. Andrade,68,75,63,68,71,46,62
A. Bonnet,68,71,61,67,70,35,55
Y. Buyens,68,69,63,63,63,65,77
R. Majewski,68,66,67,69,70,38,49
S. Langil,68,88,57,63,71,29,55
E. Terranova,68,69,38,45,48,69,76
T. Chevalier,68,81,68,62,68,32,65
L. Vibe,68,86,68,62,71,30,58
M. Schet,68,85,62,58,72,33,57
S. Al Faraj,68,78,56,67,74,61,61
L. Rodríguez,68,84,53,61,73,53,61
C. Martínez Borja,68,77,66,58,68,28,73
Odaïr Fortes,68,91,57,52,78,30,60
D. Davari,68,,,,,,
M. de Leeuw,68,64,65,64,68,42,72
Brito,68,85,63,60,73,26,64
S. Otálvaro,68,65,53,60,61,69,71
J. Vásquez,68,66,38,65,66,64,72
L. Lollo,68,47,30,38,43,69,73
C. Salom,68,67,70,56,64,31,62
A. Puljić,68,69,41,47,43,68,71
K. Keleş,68,82,48,56,71,65,53
G. Pasquale,68,71,59,66,66,71,73
R. Riou,68,,,,,,
R. Carroll,68,,,,,,
A. Coulibaly,68,47,42,49,50,69,77
M. Blasi,68,60,47,63,64,67,72
Manuel Pablo,68,54,51,67,55,70,66
E. Maresca,68,38,67,73,69,53,57
G. Bellini,68,54,46,60,57,71,67
C. Lupatelli,68,,,,,,
J. Ángel,68,47,69,59,64,36,59
T. Tainio,68,61,58,62,65,66,65
D. Gabbidon,68,48,33,41,49,68,70
R. Nuzzolo,68,75,63,66,67,52,62
S. Hammell,68,70,39,63,63,66,80
H. Andreasen,68,53,70,69,52,68,75
Kim Nam Il,68,51,58,67,65,64,76
C. Bocanegra,68,46,38,52,52,68,72
K. McNaughton,68,73,50,61,63,69,66
G. Givet,68,33,32,44,43,69,73
K. Lasley,68,62,49,67,67,66,69
M. Rasmussen,68,64,67,51,54,30,73
M. Oussalah,68,68,62,67,68,64,68
J. Kristiansen,68,63,65,68,65,64,80
R. Guana,68,60,59,69,64,65,63
E. Johnson,68,84,64,48,70,35,73
M. Ericsson,68,60,61,69,71,47,52
J. Poulsen,68,71,70,69,70,41,76
J. Busch,68,,,,,,
J. Álvarez,68,65,65,73,69,34,55
S. Harper,68,,,,,,
P. Konchesky,68,63,50,64,61,69,71
E. Bugge Pettersen,68,,,,,,
D. Henderson,68,49,70,60,63,38,80
G. Greer,68,31,25,53,52,68,75
S. Caldwell,68,54,34,49,53,68,75
S. Warnock,68,68,53,58,62,68,74
S. Kotsolis,68,,,,,,
C. Casey,68,51,68,57,64,33,79
S. Almirón,68,34,67,76,71,60,59
B. Köhler,68,70,63,67,71,46,65
D. Kruppke,68,64,68,68,67,47,68
K. Geraerts,68,61,68,65,62,66,79
M. Langer,68,,,,,,
F. Agliardi,68,,,,,,
D. Dogan,68,54,46,49,46,69,69
Aganzo,68,62,64,52,68,35,64
Iván Hernández,68,50,46,50,45,69,76
C. Heimeroth,68,,,,,,
R. Fuller,68,72,67,60,68,37,72
D. Perquis,68,,,,,,
M. Thygesen,68,76,60,67,64,62,83
L. Kruse,68,,,,,,
M. Sağlik,68,67,66,51,70,30,59
E. Matoukou,68,66,34,32,45,68,78
S. Balcı,68,84,51,66,73,65,73
A. Koçak,68,62,53,71,71,59,72
G. Þorvaldsson,68,76,66,43,57,29,66
D. Örlund,68,,,,,,
Rubinho,68,,,,,,
Michel,68,69,66,71,64,66,66
G. Tamaş,68,41,55,53,55,68,71
A. Geijo,68,60,70,57,63,39,68
Lee Chun Soo,68,81,64,65,70,28,54
P. Bianco,68,44,37,37,38,72,61
C. Lepoint,68,64,66,63,63,64,82
N. Borchers,68,64,39,45,53,67,74
G. Garics,68,76,51,66,65,68,74
K. Stuhr-Ellegaard,68,,,,,,
M. Kilgallon,68,69,31,48,50,69,73
C. Terlizzi,68,35,45,48,51,70,69
D. Succi,68,68,68,59,65,30,68
Tiago Gomes,68,76,56,62,66,67,73
Manuel José,68,64,68,68,68,51,67
L. Pérez,68,66,64,69,66,65,74
O. Bravo,68,75,67,66,68,40,67
A. Cordaro,68,75,63,62,74,35,63
J. Sutton,68,63,68,47,59,32,82
R. Makondele,68,71,62,65,71,33,60
M. Fledderus,68,57,70,70,65,57,71
C. Delgado,68,52,64,70,72,37,58
A. Gashi,68,51,55,63,63,60,77
J. Buxton,68,52,37,46,35,68,78
R. Wallace,68,78,62,66,69,45,53
R. Lemaître,68,63,53,63,63,69,69
I. Damonte,68,69,58,68,70,68,64
M. Mirošević,68,59,67,68,64,52,71
R. Martínez,68,77,67,68,71,55,74
E. Bologna,68,,,,,,
M. Romagnoli,68,34,56,66,63,64,73
M. Carrusca,68,65,68,69,70,24,42
M. Pavone,68,58,69,55,61,28,78
D. Herner,68,50,37,42,40,70,73
R. Díaz,68,51,68,70,72,43,72
M. Romero,68,66,49,57,58,68,75
K. D'Haene,68,44,37,56,51,70,70
L. Palos,68,,,,,,
G. Ré,68,67,45,56,46,68,62
G. Ünal,68,54,71,58,64,29,61
C. Schwegler,68,74,43,62,68,65,76
Mora,68,55,63,75,59,50,68
Migue,68,58,46,39,48,68,87
Jonathan Ruiz,68,63,54,67,62,57,71
José Juan,68,,,,,,
Dani Giménez,68,,,,,,
D. Jensen,68,50,63,70,65,60,60
Iñaki Astiz,68,69,27,50,45,68,72
P. Pogrebnyak,68,48,72,60,59,33,75
A. Tlisov,68,69,60,64,67,63,70
A. Bober,68,60,60,70,68,30,67
E. Ruud,68,77,53,65,64,65,77
R. Zubar,68,67,52,56,61,66,76
K. Lorentzen,68,75,62,64,70,31,61
S. Poulsen,68,76,58,64,69,64,72
R. Özcan,68,,,,,,
F. Schiemer,68,62,56,51,58,61,85
O. Occéan,68,71,68,56,62,34,82
D. Marney,68,71,64,68,67,65,80
L. Licht,68,80,52,64,70,68,63
L. Garguła,68,52,66,73,63,43,57
H. Pellerano,68,55,33,51,44,69,74
C. Mackail-Smith,68,78,68,56,65,36,73
A. Askar,68,77,67,62,74,55,60
Shin Hwa Yong,68,,,,,,
K. Petersen,68,60,31,49,49,67,73
S. McDonald,68,75,67,62,70,42,69
D. Bičík,68,,,,,,
F. Vilar,68,,,,,,
M. Mills,68,53,36,47,42,68,74
D. Blackstock,68,69,65,51,67,40,77
C. Morales,68,75,63,71,70,66,71
D. Álvarez,68,82,60,63,76,34,54
J. Faubert,68,75,63,66,68,66,74
J. De la Cuesta,68,61,43,47,50,69,67
C. Ochoa,68,70,66,60,68,31,70
I. Estrada,68,83,51,61,69,67,58
J. Mackie,68,74,68,61,69,54,76
G. Pineda,68,67,55,69,67,66,71
Ricardo,68,65,32,53,56,68,71
U. Hünemeier,68,64,45,57,54,66,71
E. Kapllani,68,53,70,59,65,34,64
M. Parensen,68,72,50,65,66,65,71
S. Jahic,68,73,49,59,63,68,73
D. Vrančić,68,53,55,69,66,64,71
J. Sami,68,45,41,57,46,66,81
J. Elizondo,68,58,71,60,67,40,65
Defendi,68,45,29,46,47,70,70
G. Zecchin,68,77,60,67,67,52,65
D. Fox,68,67,46,69,66,66,71
P. Larsson,68,45,35,37,33,68,78
G. Munari,68,38,65,67,63,60,75
S. Ottesen,68,49,40,42,40,69,75
S. Hunt,68,69,67,69,72,51,67
P. Leciejewski,68,,,,,,
M. Berger,68,61,45,56,57,68,77
G. Gimbert,68,66,72,61,64,35,72
L. Moore,68,69,65,58,69,34,64
E. Villa,68,53,67,60,63,36,71
O. Ivanov,68,69,67,66,69,49,79
D. Ricketts,68,,,,,,
Evaldo,68,73,52,61,67,65,71
T. Matthys,68,68,67,69,64,38,66
A. Crofts,68,62,69,67,65,65,72
B. Safari,68,84,43,64,67,66,74
S. Darbion,68,62,67,68,67,52,69
Roger,68,56,68,58,61,33,71
Xisco,68,59,69,50,63,30,77
J. Larentowicz,68,71,62,58,63,64,77
M. Parkhurst,68,73,38,55,63,70,69
D. Goian,68,64,50,51,59,69,73
Angelo,68,79,58,63,71,66,69
N. Navarro,68,,,,,,
T. Podgórski,68,77,58,65,68,42,51
V. Marín,68,75,67,70,72,68,58
A. Gaţcan,68,67,36,65,62,66,74
D. Belorukov,68,40,36,56,48,70,79
R. Elliot,68,,,,,,
S. Le Toux,68,65,67,68,68,42,65
R. Cazzola,68,54,58,69,62,60,73
R. Schiavi,68,59,35,42,41,69,72
M. Arzuaga,68,70,70,64,68,38,66
O. Hoban,68,68,58,60,61,68,73
G. Venegas,68,52,38,56,54,67,76
T. Oehrl,68,66,69,52,62,28,64
Y. Kermorgant,68,53,70,58,60,35,78
A. Balzano,68,77,43,56,58,68,76
David Rodríguez,68,80,67,54,69,30,69
R. Chávez,68,76,53,68,68,66,71
Carpio,68,77,46,52,58,65,79
Óscar Díaz,68,66,67,57,72,35,71
E. Castillo,68,86,50,62,71,66,57
L. López,68,53,47,59,58,66,70
Helder Cabral,68,76,47,66,68,65,71
Tiago Valente,68,57,28,46,45,68,72
J. van den Berg,68,61,62,60,61,64,83
A. Cutolo,68,77,63,63,71,26,50
L. Seijas,68,68,65,68,70,39,57
E. Gutiérrez,68,64,68,61,67,33,72
O. Kaya,68,75,62,67,70,37,58
A. Vaņins,68,,,,,,
S. Quinn,68,72,67,69,74,56,69
S. Gaxa,68,81,45,60,66,67,72
S. Nkosi,68,65,66,68,68,33,60
W. Palacios,68,59,59,67,70,71,66
D. Ovono Ebang,68,,,,,,
J. Guagua,68,68,42,51,45,64,81
W. Ayoví,68,64,59,71,67,63,67
D. Oliech,68,88,67,60,65,28,71
J. Choplin,68,60,39,57,52,67,74
Yeom Ki Hun,68,73,69,72,64,33,66
J. Devaca,68,58,41,38,39,67,74
Filipe Gonçalves,68,54,64,67,67,62,74
B. Castillo,68,,,,,,
S. Missiroli,68,69,61,69,70,51,66
J. Moreno,68,64,70,59,64,31,68
M. Bjärsmyr,68,65,36,44,44,69,77
J. Cárdenas,68,80,63,65,72,61,72
Y. Opazo,68,69,66,62,65,67,65
M. Milligan,68,64,58,65,61,69,77
G. Svensson,68,58,47,55,51,67,78
L. Baal,68,79,48,64,63,64,76
T. Derijck,68,63,44,50,58,66,75
Agus,68,52,46,47,44,65,82
H. Özmert,68,58,51,64,62,67,74
D. Capelli,68,33,36,43,39,71,67
M. Lomić,68,64,36,72,63,67,67
R. Faty,68,57,48,60,62,70,77
C. Mulgrew,68,66,52,72,65,71,75
L. Simón,68,57,70,43,61,31,72
V. Minev,68,69,54,62,59,67,69
G. Boyd,68,57,68,68,73,28,60
L. Grimi,68,75,61,64,65,68,72
L. Robles,68,,,,,,
J. Shaffer,68,76,55,68,71,65,66
C. Coralli,68,67,67,56,63,35,75
V. Procházka,68,68,60,56,62,70,70
M. Petržela,68,79,66,64,69,29,55
S. Williams,68,64,60,66,65,65,73
Bruno China,68,55,52,65,67,65,72
P. Alo'o Efoulou,68,79,68,60,68,28,58
P. Zanev,68,74,50,60,64,67,75
N. Cherubin,68,52,24,43,37,71,71
Robson,68,42,36,51,50,68,75
A. Cuvillier,68,72,58,68,69,36,67
Bruno Miguel,68,52,37,44,50,69,70
A. Domínguez,68,48,68,68,70,40,62
G. Perico,68,61,51,58,59,69,69
A. Nemec,68,55,67,46,58,32,73
G. Troianiello,68,81,59,62,70,36,65
M. Vidangossy,68,86,59,60,74,27,65
F. Espindola,68,75,69,65,71,29,69
G. Zárate,68,80,64,63,76,30,58
Y. Tigorev,68,67,28,55,54,70,71
S. Franklin,68,84,54,57,64,67,75
J. Olave,68,72,44,47,50,65,82
J. Guerrón,68,93,64,58,71,46,77
K. Dikgacoi,68,63,58,62,59,67,74
L. Fuentes,68,75,61,63,66,67,73
Shin Hyung Min,68,76,61,68,63,64,72
H. Ruíz,68,54,57,62,64,68,72
Añibarro,68,45,39,50,46,66,77
S. Roco,68,46,30,43,41,68,83
M. Valdifiori,68,67,57,71,62,61,71
Rodnei,68,51,48,55,54,66,79
Thiago Cionek,68,72,28,46,47,68,77
J. Gosso,68,66,46,60,57,68,75
M. Woolford,68,70,67,66,70,38,70
P. Ninkov,68,64,54,68,67,66,72
C. Pontius,68,76,67,64,69,54,70
H. Thomas,68,66,45,60,64,68,73
O. Hawsawi,68,49,32,41,39,69,74
Pedro Queirós,68,69,40,58,62,69,73
D. Cháves,68,62,70,43,68,29,67
L. Nomenjanahary,68,84,44,61,69,57,60
Roger,68,59,51,59,54,68,72
D. Lévêque,68,67,34,57,60,69,64
R. Mahamutsa,68,60,29,45,42,69,69
G. Jara Reyes,68,67,48,61,66,70,73
K. Nkhatha,68,74,70,51,67,32,68
Y. Anchico,68,80,58,64,68,65,70
Carlos Ruiz,68,67,56,52,49,67,78
M. Smith,68,57,35,55,51,66,76
D. Lekić,68,35,70,50,54,32,71
M. Batdal,68,66,68,51,61,33,64
A. Losilla,68,64,49,61,65,68,75
L. Arias,68,78,68,65,73,55,55
D. Chará,68,75,59,61,69,64,74
Diogo Cunha,68,80,64,71,75,43,49
L. Majoro,68,81,67,59,71,32,57
C. Gonzado,68,71,67,69,68,62,65
L. Reija,68,70,67,67,73,37,51
A. Cadavid,68,51,39,45,46,68,80
S. Dyakov,68,71,49,63,59,67,67
M. Jones,68,,,,,,
M. Husain,68,62,34,36,38,71,77
E. Palomino,68,87,68,61,70,28,58
V. Giraldo,68,88,60,60,68,66,68
L. Giovini,68,,,,,,
L. Narváez,68,52,44,57,63,70,70
A. Andrade,68,75,64,63,74,37,55
C. Arboleda,68,87,39,51,68,67,61
L. Estacio,68,,,,,,
F. Díaz,68,83,49,63,67,64,62
M. Villalobos,68,74,70,54,66,29,55
N. Moiraghi,68,57,30,44,45,68,72
P. Muñoz,68,90,59,59,73,27,76
M. Olivi,68,85,71,60,73,26,65
B. Beckeles,68,68,42,57,63,69,79
P. Arango,68,77,66,65,69,39,68
C. Rentería,68,68,67,54,70,29,55
Bobô,68,53,70,45,66,29,71
J. Chiarini,68,,,,,,
G. Lanaro,68,54,39,49,47,66,79
Marcos Lopes,67,79,58,66,73,26,48
K. Coman,67,90,62,55,76,28,57
P. Roberts,67,77,55,64,76,25,36
F. Rodriguez,67,82,67,65,73,53,64
A. Cragno,67,,,,,,
E. Şahin,67,72,52,65,70,33,57
K. Ayhan,67,68,57,65,64,67,70
N. Aké,67,77,48,63,65,66,66
P. Højbjerg,67,67,56,66,72,56,70
D. Sinkgraven,67,73,48,69,74,51,51
J. Lascelles,67,66,27,45,53,67,71
D. Rugani,67,57,38,43,44,71,70
D. Khodzhaniyazov,67,71,54,55,60,68,65
Y. Poulsen,67,85,61,55,71,31,77
J. Green,67,78,65,59,70,25,47
F. Campos,67,77,45,64,63,66,74
T. Bongonda,67,82,55,61,75,29,40
G. Castellón,67,,,,,,
Guillermo,67,78,67,53,71,28,53
D. Léon,67,,,,,,
D. Cataldi,67,71,63,69,69,49,64
Betinho,67,75,68,45,61,28,58
J. Hendrix,67,71,34,60,66,68,67
H. Ongenda,67,79,56,60,74,39,58
Sandro,67,77,67,57,73,27,69
R. Hall,67,82,63,61,70,28,61
Sergio Rodríguez,67,82,59,65,71,27,50
S. Berahino,67,81,69,56,70,29,55
M. Valoti,67,76,57,67,68,38,45
E. Huws,67,72,59,68,65,54,66
A. Younes,67,81,61,63,78,27,52
F. Al Muwallad,67,94,65,59,70,39,66
D. Amartey,67,81,43,58,60,62,82
Ayoze Pérez,67,79,64,58,75,27,46
T. Jedvaj,67,68,45,53,59,69,70
C. Tolisso,67,76,46,64,69,71,75
S. Risvanis,67,53,33,48,40,70,69
E. Sviatchenko,67,62,34,50,59,66,71
J. Paterson,67,82,67,63,72,28,45
O. Yildirim,67,68,57,64,76,34,51
J. Ibe,67,84,57,58,71,40,55
Eddy,67,71,58,60,68,62,79
Jadson,67,76,51,65,68,65,67
L. Schaub,67,73,62,66,74,35,58
E. Hysaj,67,76,47,56,66,64,73
L. Pavez,67,77,52,61,65,65,71
M. Politano,67,82,56,59,71,25,47
M. Astina,67,78,61,62,71,44,48
R. Thomas,67,74,51,64,73,36,50
V. Berisha,67,74,69,70,75,46,77
C. Buchtmann,67,76,60,68,73,56,67
L. Benito,67,78,48,60,64,64,72
C. Sloth,67,67,62,63,68,57,56
T. Van Acker,67,64,58,63,63,66,66
L. Nicholls,67,,,,,,
M. Żyro,67,77,66,64,70,40,67
B. Pawłowski,67,78,63,58,80,27,48
R. Ince,67,73,45,56,65,66,78
G. Zahid,67,81,57,63,72,34,51
G. De Luca,67,89,64,62,76,27,54
Sergi Samper,67,60,46,70,62,59,61
J. Brenet,67,86,32,57,66,67,68
T. Ondaan,67,89,62,54,72,28,62
M. Konaté,67,80,59,53,68,29,61
K. Linetty,67,72,57,62,64,61,75
Wendell,67,74,37,66,66,64,56
C. Cuevas,67,87,60,59,70,59,56
S. Molina,67,79,43,62,70,27,57
N. Keita,67,78,57,59,74,59,74
K. Friesenbichler,67,69,65,40,62,30,61
B. Fernández,67,87,65,61,71,27,44
S. Yıldırım,67,78,65,56,71,29,60
G. Bruno,67,66,65,57,69,30,53
J. Emmanuel-Thomas,67,73,69,61,65,34,69
H. Ojamaa,67,91,65,57,71,28,75
S. Colombi,67,,,,,,
L. Sepe,67,,,,,,
M. Albornoz,67,68,51,69,73,63,70
R. Yabo,67,78,54,63,69,62,73
T. Børven,67,76,66,49,69,30,63
A. Turan,67,74,47,62,67,67,70
D. Boyata,67,67,33,52,44,70,75
G. Gorskav,67,79,64,61,69,32,67
M. Linnes,67,83,54,59,69,66,62
G. Hanley,67,64,32,50,40,67,74
S. Thern,67,79,60,68,71,47,57
J. Gatt,67,93,61,55,74,52,73
D. da Costa,67,77,44,62,67,64,76
Aníbal Capela,67,58,28,45,44,68,69
A. Taggart,67,78,70,58,69,34,62
K. Fortounis,67,75,65,64,72,32,58
K. Stöger,67,71,58,66,73,27,50
Bigas,67,76,50,53,51,70,73
Nono,67,68,61,69,72,60,64
M. Lemina,67,71,50,65,69,64,64
Y. Ono,67,80,59,63,73,27,50
M. Rodić,67,69,35,54,62,65,66
C. Palomeque,67,81,62,64,70,27,70
A. Contreras,67,58,43,54,49,68,71
M. Urruti,67,79,68,45,70,29,48
R. Cáseres,67,82,68,54,72,27,47
F. Rasic,67,50,70,34,53,29,74
J. Gómez,67,79,36,56,64,65,59
M. N'Diaye,67,65,34,48,44,66,76
Oier,67,,,,,,
A. Smithies,67,,,,,,
M. Lang,67,68,51,58,54,69,72
J. King,67,91,62,58,73,29,57
H. Rodríguez,67,64,47,52,54,69,69
R. Jack,67,72,56,66,68,64,73
B. Salamon,67,58,52,62,58,65,74
A. Sissoko,67,68,58,66,60,61,73
E. Frimpong,67,70,55,62,67,64,81
M. Stiepermann,67,73,68,63,70,33,69
L. Thy,67,80,67,62,70,28,71
S. Duffy,67,54,32,44,38,66,74
S. Cook,67,66,29,48,56,68,71
G. Pezzella,67,56,45,40,41,67,73
J. Hunt,67,85,48,59,69,66,67
Laguardia,67,65,39,44,43,68,77
F. Kainz,67,82,64,63,71,32,56
E. Rashani,67,77,55,57,72,34,57
L. Dunk,67,59,32,47,58,68,71
E. İşcan,67,,,,,,
W. Boly,67,82,34,54,41,66,77
N. Kebano,67,74,64,66,70,30,65
P. Bauer,67,36,44,51,44,68,74
K. Otigba,67,80,35,47,48,65,79
F. Hasani,67,76,61,64,74,36,72
A. M'Madi,67,89,66,55,68,31,55
Gerard Moreno,67,69,69,56,67,32,61
S. Doukara,67,71,66,56,64,28,66
Pek's,67,52,32,48,43,68,75
A. Vukušić,67,81,64,54,71,29,59
S. Bateau,67,72,29,54,61,64,75
R. Ramírez,67,76,68,58,69,30,58
J. Mojica,67,79,53,61,62,66,59
M. Cuero,67,91,53,60,68,28,62
C. Valenzuela,67,74,56,69,72,25,37
C. Bonilla,67,,,,,,
J. Valdez Chamorro,67,78,61,63,67,59,65
G. Gómez,67,52,33,35,37,66,77
B. Mkhwanazi,67,68,30,48,43,69,71
P. Ndiaye,67,74,68,66,66,56,66
S. Baldock,67,83,68,49,67,32,63
F. Forestieri,67,79,64,66,79,35,54
A. Prudnikov,67,63,70,55,62,29,70
B. Karadeniz,67,49,67,54,60,30,77
O. Norwood,67,67,62,71,66,55,65
C. Stewart,67,82,61,62,72,33,54
L. Mchedlidze,67,67,66,52,63,33,67
N. Toko,67,87,54,61,69,61,75
C. Kabasele,67,74,42,46,50,66,73
E. Adu,67,71,40,63,67,67,71
D. Alar,67,74,69,61,68,31,67
L. Cabrera,67,70,30,54,54,65,77
V. Belec,67,,,,,,
A. Bačinovič,67,66,58,67,68,59,68
J. Davidson,67,75,48,61,63,67,68
S. Ciss,67,82,50,60,64,64,79
B. Bereszyński,67,83,58,65,68,63,73
Z. Bergdich,67,80,47,63,66,60,62
A. Zotov,67,70,50,60,60,68,69
L. Ebecilio,67,73,64,57,73,35,72
M. Uth,67,71,64,60,68,32,65
A. Wakaso,67,65,49,57,60,65,80
José Ángel,67,64,28,58,51,68,62
Fernández,67,86,41,52,62,63,64
M. Deplagne,67,71,31,65,55,63,70
Y. Sylla,67,74,49,59,65,65,84
J. Lukoki,67,93,51,56,72,26,45
Yun Il Lok,67,73,70,63,69,42,66
L. Advíncula,67,84,64,63,71,68,61
P. Olkowski,67,89,46,55,65,62,74
N. Füllkrug,67,68,67,56,66,31,66
A. Ring,67,80,63,66,72,61,69
B. Verboom,67,81,53,59,65,65,73
R. Chibsah,67,74,51,63,68,61,73
F. Vázquez,67,55,67,68,67,39,67
T. Ntshumayelo,67,68,59,67,66,64,59
K. Przybyłko,67,66,67,52,62,28,64
D. Łukasik,67,58,42,65,63,67,69
Bruno Nascimento,67,68,36,43,54,67,69
D. Sciaudone,67,77,59,65,68,51,71
A. Solari,67,82,57,64,68,56,69
S. Palacios,67,88,64,62,76,35,54
S. Kritsyuk,67,,,,,,
I. Díaz,67,74,65,49,65,29,79
S. López,67,68,62,69,67,37,53
M. Viana,67,,,,,,
F. Elizari,67,72,60,63,74,45,53
André Claro,67,75,64,60,69,30,58
T. Khattab,67,58,33,42,37,65,83
O. Rivero,67,73,69,45,65,27,68
Dani Ramírez,67,57,66,67,70,45,57
M. Troest,67,55,35,42,43,66,77
Carmona,67,73,57,62,73,45,60
P. Anderson,67,81,57,62,70,37,67
Hugo Ventura,67,,,,,,
S. Golbourne,67,75,31,61,68,67,74
G. Torres,67,79,66,55,67,29,63
B. Bjarnason,67,74,59,63,67,61,69
M. Morganella,67,76,47,65,67,66,74
S. Dianda,67,90,55,60,69,54,72
Tartá,67,87,62,66,77,29,56
R. van La Parra,67,84,62,59,74,32,64
M. Eramo,67,71,59,66,68,54,66
U. Dávila,67,76,67,64,70,31,56
C. Fierro,67,89,60,58,71,32,61
S. Yatabaré,67,70,62,66,66,57,77
I. Ivanov,67,68,31,43,43,67,76
J. Martin,67,68,64,65,70,59,65
L. Bacuna,67,73,70,70,70,63,77
B. Schenkeveld,67,62,38,59,53,67,70
Z. Korcsmár,67,74,37,56,47,65,75
J. Larsson,67,85,65,63,65,64,67
Javi Jiménez,67,,,,,,
C. Avevor,67,70,37,48,53,65,74
L. Brattan,67,70,60,70,65,54,71
N. Helenius,67,75,66,61,69,30,62
H. Van Der Bruggen,67,59,58,67,66,61,64
T. Boyd,67,69,69,44,56,30,80
Roberto Torres,67,68,65,66,62,48,65
